					郑州商品交易所期权每日行情表(2019-10-17)
品种代码   |昨结算    |今开盘    |最高价    |最低价    |今收盘    |今结算    |涨跌1     |涨跌2     |成交量(手)|空盘量    |增减量    |成交额(万元)|DELTA     |隐含波动率|行权量
CF005C12200|1,143.00  |0.00      |0.00      |0.00      |0.00      |1,075.00  |-68.00    |-68.00    |0         |146       |0         |0.00        |0.7270    |17.06     |0
CF005C12400|1,014.00  |0.00      |0.00      |0.00      |0.00      |947.00    |-67.00    |-67.00    |0         |172       |0         |0.00        |0.6775    |17.23     |0
CF005C12600|896.00    |0.00      |0.00      |0.00      |0.00      |833.00    |-63.00    |-63.00    |0         |190       |0         |0.00        |0.6262    |17.41     |0
CF005C12800|786.00    |684.00    |730.00    |684.00    |730.00    |727.00    |-56.00    |-59.00    |54        |618       |12        |19.21       |0.5751    |17.59     |0
CF005C13000|690.00    |589.00    |649.00    |589.00    |649.00    |632.00    |-41.00    |-58.00    |6         |264       |2         |1.83        |0.5243    |17.78     |0
CF005C13200|603.00    |568.00    |614.00    |568.00    |613.00    |551.00    |10.00     |-52.00    |28        |270       |-4        |8.01        |0.4753    |17.98     |0
CF005C13400|524.00    |488.00    |533.00    |444.00    |485.00    |476.00    |-39.00    |-48.00    |166       |314       |74        |39.97       |0.4281    |18.20     |0
CF005C13600|458.00    |400.00    |456.00    |400.00    |444.00    |413.00    |-14.00    |-45.00    |22        |276       |-2        |4.59        |0.3841    |18.42     |0
CF005C13800|395.00    |326.00    |375.00    |326.00    |368.00    |356.00    |-27.00    |-39.00    |68        |2,108     |46        |12.15       |0.3431    |18.65     |0
CF005C14000|346.00    |286.00    |334.00    |286.00    |334.00    |308.00    |-12.00    |-38.00    |140       |950       |-10       |21.18       |0.3054    |18.90     |0
CF005C14200|298.00    |275.00    |302.00    |243.00    |285.00    |267.00    |-13.00    |-31.00    |540       |7,702     |174       |75.12       |0.2716    |19.16     |0
CF005C14400|262.00    |241.00    |242.00    |241.00    |242.00    |231.00    |-20.00    |-31.00    |20        |966       |20        |2.42        |0.2408    |19.44     |0
CF005C14600|227.00    |212.00    |218.00    |212.00    |218.00    |201.00    |-9.00     |-26.00    |22        |686       |0         |2.39        |0.2137    |19.73     |0
CF005C14800|201.00    |190.00    |190.00    |190.00    |190.00    |176.00    |-11.00    |-25.00    |40        |194       |0         |3.66        |0.1899    |20.04     |0
CF005C15000|176.00    |166.00    |166.00    |166.00    |166.00    |153.00    |-10.00    |-23.00    |40        |144       |0         |3.19        |0.1681    |20.37     |0
CF005C15200|155.00    |134.00    |150.00    |134.00    |144.00    |136.00    |-11.00    |-19.00    |24        |362       |6         |1.73        |0.1508    |20.73     |0
CF005C15400|139.00    |0.00      |0.00      |0.00      |0.00      |120.00    |-19.00    |-19.00    |0         |1,720     |0         |0.00        |0.1344    |21.10     |0
CF005C15600|123.00    |0.00      |0.00      |0.00      |0.00      |107.00    |-16.00    |-16.00    |0         |348       |0         |0.00        |0.1207    |21.51     |0
CF005C15800|111.00    |94.00     |94.00     |94.00     |94.00     |98.00     |-17.00    |-13.00    |10        |176       |0         |0.47        |0.1098    |21.94     |0
CF005C16000|102.00    |0.00      |0.00      |0.00      |0.00      |89.00     |-13.00    |-13.00    |0         |114       |0         |0.00        |0.0997    |22.41     |0
CF005C16200|93.00     |80.00     |93.00     |80.00     |93.00     |81.00     |0.00      |-12.00    |144       |420       |124       |6.31        |0.0906    |22.91     |0
CF005C16400|84.00     |81.00     |90.00     |81.00     |88.00     |76.00     |4.00      |-8.00     |90        |2,822     |88        |3.88        |0.0845    |23.45     |0
小计       |          |          |          |          |          |          |          |          |1,414     |21,054    |530       |206.11      |          |          |0
CF005P11400|83.00     |61.00     |78.00     |59.00     |59.00     |75.00     |-24.00    |-8.00     |22        |3,288     |2         |0.79        |-0.1029   |16.45     |0
CF005P11600|114.00    |132.00    |132.00    |88.00     |104.00    |107.00    |-10.00    |-7.00     |98        |986       |50        |5.28        |-0.1358   |16.60     |0
CF005P11800|155.00    |163.00    |180.00    |127.00    |136.00    |147.00    |-19.00    |-8.00     |506       |946       |22        |39.98       |-0.1738   |16.74     |0
CF005P12000|203.00    |208.00    |240.00    |171.00    |185.00    |197.00    |-18.00    |-6.00     |146       |1,436     |44        |15.05       |-0.2160   |16.90     |0
CF005P12200|260.00    |296.00    |296.00    |221.00    |225.00    |256.00    |-35.00    |-4.00     |134       |306       |42        |17.41       |-0.2614   |17.06     |0
CF005P12400|329.00    |300.00    |311.00    |300.00    |311.00    |326.00    |-18.00    |-3.00     |24        |214       |0         |3.74        |-0.3099   |17.23     |0
CF005P12600|408.00    |365.00    |365.00    |365.00    |365.00    |409.00    |-43.00    |1.00      |2         |264       |2         |0.37        |-0.3605   |17.41     |0
CF005P12800|495.00    |0.00      |0.00      |0.00      |0.00      |501.00    |6.00      |6.00      |0         |140       |0         |0.00        |-0.4112   |17.59     |0
CF005P13000|597.00    |616.00    |616.00    |569.00    |570.00    |603.00    |-27.00    |6.00      |98        |314       |-28       |28.77       |-0.4619   |17.78     |0
CF005P13200|707.00    |0.00      |0.00      |0.00      |0.00      |718.00    |11.00     |11.00     |0         |242       |0         |0.00        |-0.5109   |17.98     |0
CF005P13400|825.00    |0.00      |0.00      |0.00      |0.00      |841.00    |16.00     |16.00     |0         |158       |0         |0.00        |-0.5584   |18.20     |0
CF005P13600|956.00    |0.00      |0.00      |0.00      |0.00      |975.00    |19.00     |19.00     |0         |340       |0         |0.00        |-0.6028   |18.42     |0
CF005P13800|1,091.00  |0.00      |0.00      |0.00      |0.00      |1,116.00  |25.00     |25.00     |0         |1,734     |0         |0.00        |-0.6444   |18.65     |0
CF005P14000|1,239.00  |0.00      |0.00      |0.00      |0.00      |1,265.00  |26.00     |26.00     |0         |136       |0         |0.00        |-0.6830   |18.90     |0
CF005P14200|1,389.00  |0.00      |0.00      |0.00      |0.00      |1,422.00  |33.00     |33.00     |0         |658       |0         |0.00        |-0.7177   |19.16     |0
CF005P14400|1,550.00  |0.00      |0.00      |0.00      |0.00      |1,584.00  |34.00     |34.00     |0         |68        |0         |0.00        |-0.7495   |19.44     |0
CF005P14600|1,713.00  |0.00      |0.00      |0.00      |0.00      |1,752.00  |39.00     |39.00     |0         |64        |0         |0.00        |-0.7777   |19.73     |0
CF005P14800|1,885.00  |0.00      |0.00      |0.00      |0.00      |1,925.00  |40.00     |40.00     |0         |56        |0         |0.00        |-0.8027   |20.04     |0
CF005P15000|2,058.00  |0.00      |0.00      |0.00      |0.00      |2,100.00  |42.00     |42.00     |0         |60        |0         |0.00        |-0.8258   |20.37     |0
CF005P15200|2,236.00  |0.00      |0.00      |0.00      |0.00      |2,282.00  |46.00     |46.00     |0         |52        |0         |0.00        |-0.8444   |20.73     |0
