,1,2,3,4,5,6,7,8,9,10,11
242,19970603,0.0290526,6,1.0715e-16,0.335358,0.236911,0.0699909,5,0.273531,0.259715,"0.149639
"
243,19970604,0.00329853,0,82.4919,0.373264,0.357265,0.0213322,5,3.61261,0.218724,"0.212084
"
244,19970605,0,0,0,0.345087,0.218353,0,0,0,0.189083,"0.154739
"
245,19970606,0,0,0,0.159635,0.159635,0,0,0,0.0799125,"0.0799125
"
246,19970609,0.136995,6,1.17591,0.422304,0.377218,0.276385,4,0.168146,0.291126,"0.253032
"
247,19970610,0,0,0,0.265132,0.264787,0.275728,4,0.128015,0.178414,"0.195453
"
248,19970611,0.0647358,6,1.02788,0.418589,0.391131,0,0,0,0.205834,"0.243762
"
249,19970612,0,0,0,0.30678,0.286845,0,0,0,0.10859,"0.10859
"
250,19970613,0.189477,6,0.0250606,0.39497,0.279518,0.209479,5,0.074144,0.253586,"0.224612
"
251,19970616,0.0405278,4,0.664665,0.287573,0.340244,0,0,0,0.157585,"0.148634
"
252,19970617,0.0218598,4,1.69869,0.388148,0.223563,0.106148,3,0.522499,0.26986,"0.275031
"
253,19970618,0,0,0,0.240839,0.240839,0,0,0,0.200374,"0.200374
"
254,19970619,0.196414,2,0.214266,0.305109,0.28658,0.160009,2,0.711578,0.261164,"0.271237
"
255,19970620,0,0,0,0.289009,0.189264,0.0919239,6,0.0407455,0.234886,"0.17705
"
256,19970623,0,0,0,0.271831,0.199864,0,0,0,0.136145,"0.155688
"
257,19970624,0.173352,5,0.198658,0.29484,0.255306,0.154272,6,0.196732,0.255975,"0.190038
"
258,19970625,0.140766,7,0.0211544,0.235003,0.181688,0.11694,6,0.0645048,0.194596,"0.19987
"
259,19970626,0.191359,0,0.0882821,0.190826,0.18345,0.204941,1,0.0767533,0.185861,"0.18729
"
260,19970627,0,0,0,0.247518,0.288889,0,0,0,0.178832,"0.19732
"
261,19970630,0.324995,2,0.323163,0.497258,0.389658,0.313182,5,0.269839,0.347314,"0.352149
"
262,19970701,0.402471,5,0.347726,0.348122,0.354908,0.371095,5,0.392915,0.295788,"0.3578
"
263,19970702,0.0347053,2,0.67441,0.296011,0.283538,0,0,0,0.141759,"0.15011
"
264,19970703,0.0656632,5,0,0.228813,0.258077,0,0,0,0.157414,"0.164757
"
265,19970707,0.0898251,2,0.227011,0.219836,0.20256,0.210648,3,0.0569921,0.202762,"0.196694
"
266,19970708,0.00199015,6,6.38388,0.265165,0.274656,0,0,0,0.0505656,"0.0505656
"
267,19970709,0.146431,6,0.205095,0.294096,0.202723,0.116416,2,0.293551,0.219697,"0.234375
"
268,19970710,0.0214304,2,0.335205,0.223236,0.199112,0,0,0,0.123653,"0.0944383
"
269,19970711,0.0188161,6,1.47381,0.324597,0.236214,0.0372725,3,0.0759805,0.21046,"0.173275
"
270,19970714,0.294575,4,0.170784,0.550775,0.476799,0.406775,6,0.0943118,0.301158,"0.308064
"
271,19970715,0.309736,5,0.114739,0.205612,0.210779,0,0,0,0.142738,"0.158932
"
272,19970716,0.286423,7,0.0379292,0.253927,0.239569,0.176052,6,0.112343,0.15086,"0.172175
"
273,19970717,0.250378,0,0.366504,0.376422,0.28574,0.346898,3,0.071275,0.208813,"0.21937
"
274,19970718,0,0,0,0.229817,0.218452,0,0,0,0.132715,"0.111623
"
275,19970721,0.126854,4,0.143516,0.269315,0.269392,0.0576645,6,0.159004,0.14863,"0.0966925
"
276,19970722,0.156161,6,0.0352019,0.350907,0.31819,0.084229,6,0.0842051,0.14414,"0.107835
"
277,19970723,0.0547422,7,0.379751,0.385088,0.356312,0.0600819,0,0.163663,0.161812,"0.146392
"
278,19970724,0.238826,6,0.130573,0.311667,0.233561,0,0,0,0.211235,"0.231712
"
279,19970725,0,0,0,0.247983,0.247983,0,0,0,0.152998,"0.14478
"
280,19970728,0.373634,1,0.148207,0.500429,0.355069,0.285722,5,0.160962,0.216355,"0.234698
"
281,19970729,0.427788,5,0.277255,0.399539,0.437956,0.573181,5,0.185364,0.244873,"0.264838
"
282,19970730,0.105716,6,0.478628,0.30689,0.268173,0,0,0,0.214051,"0.228101
"
283,19970731,0.155122,0,0.299164,0.355103,0.33704,0.243991,0,0.355358,0.231553,"0.204407
"
284,19970801,0.336587,3,0.201223,0.278112,0.250333,0.322861,6,0.212328,0.232378,"0.210457
"
