ÉÌÆ·Ãû³Æ	ºÏÔ¼Ãû³Æ	¿ªÅÌ¼Û		×î¸ß¼Û		×îµÍ¼Û		ÊÕÅÌ¼Û		Ç°½áËã¼Û	½áËã¼Û		ÕÇµø		ÕÇµø1		Delta		³É½»Á¿		³Ö²ÖÁ¿		³Ö²ÖÁ¿±ä»¯	³É½»¶î		ÐÐÈ¨Á¿		
ÓñÃ×		c2005-P-1820	5		6		5		6		6		11.5		0		5.5		-0.18		254		2,884		114		1.31		0		
ÓñÃ×		c2005-P-1840	7		8.5		6.5		8		9.5		16		-1.5		6.5		-0.23		2,950		3,564		-478		24.14		0		
ÓñÃ×		c2005-P-1860	10		11.5		9.5		11		14.5		21.5		-3.5		7		-0.29		950		11,262		100		10.48		0		
ÓñÃ×		c2005-P-1880	15		16.5		14		16.5		20.5		28		-4		7.5		-0.35		796		18,014		260		12.32		0		
ÓñÃ×		c2005-P-1900	22.5		24.5		20.5		24		28		36.5		-4		8.5		-0.42		1,166		43,740		106		26.69		0		
ÓñÃ×		c2005-P-1920	31.5		34		29		34		37.5		46		-3.5		8.5		-0.49		1,018		39,474		304		32.39		0		
ÓñÃ×		c2005-P-1940	43		46		41		46		48.5		56.5		-2.5		8		-0.55		608		4,396		42		27.1		0		
ÓñÃ×		c2005-P-1960	58.5		62.5		56		62.5		61		69		1.5		8		-0.62		338		1,596		-94		20.03		0		
ÓñÃ×		c2005-P-1980	76.5		78		72		78		75		82.5		3		7.5		-0.68		400		1,256		-44		30.43		0		
ÓñÃ×		c2005-P-2000	93		95.5		90		95.5		90.5		97		5		6.5		-0.74		384		1,330		56		35.57		0		
ÓñÃ×		c2005-P-2020	110.5		113		107.5		113		107		112.5		6		5.5		-0.79		370		668		-20		41.1		0		
ÓñÃ×		c2005-P-2040	131.5		133		126.5		132		124.5		129		7.5		4.5		-0.83		228		702		52		29.55		0		
ÓñÃ×		c2005-P-2060	145.5		150.5		145.5		150.5		142.5		146.5		8		4		-0.87		32		318		-22		4.68		0		
ÓñÃ×		c2005-P-2080	168.5		170.5		164		170.5		161.5		164.5		9		3		-0.9		42		366		40		7.06		0		
ÓñÃ×		c2005-P-2100	186.5		186.5		183		183		180.5		182.5		2.5		2		-0.93		30		630		14		5.56		0		
ÓñÃ×		c2005-P-2120	208		208		202		202		200		201.5		2		1.5		-0.95		40		496		-20		8.2		0		
ÓñÃ×		c2005-P-2140	221		221		221		221		220		221		1		1		-0.97		16		584		0		3.54		0		
ÓñÃ×		c2005-P-2160	240.5		244.5		240.5		244.5		240		240.5		4.5		0.5		-0.98		40		386		0		9.7		0		
ÓñÃ×		c2005-P-2180	266		266		259.5		259.5		260		260		-0.5		0		-1		42		372		-22		11.04		0		
ÓñÃ×		c2005-P-2200	284.5		284.5		281		281		280		280		1		0		-1		44		412		36		12.5		0		
ÓñÃ×		c2005-P-2220	304		304		304		304		300		300		4		0		-1		40		502		40		12.16		0		
ÓñÃ×		c2005-P-2240	323.5		323.5		317.5		317.5		320		320		-2.5		0		-1		60		698		60		19.29		0		
ÓñÃ×		c2005-P-2260	343.5		343.5		339.5		339.5		340		340		-0.5		0		-1		64		638		64		21.82		0		
ÓñÃ×		c2007-C-1760	0		0		0		187		185		187		2		2		0.96		0		0		0		0		0		
ÓñÃ×		c2007-C-1780	0		0		0		168.5		166		168.5		2.5		2.5		0.93		0		0		0		0		0		
ÓñÃ×		c2007-C-1800	0		0		0		150.5		147		150.5		3.5		3.5		0.9		0		0		0		0		0		
ÓñÃ×		c2007-C-1820	0		0		0		133		129		133		4		4		0.87		0		30		0		0		0		
ÓñÃ×		c2007-C-1840	0		0		0		116.5		112		116.5		4.5		4.5		0.82		0		140		0		0		0		
ÓñÃ×		c2007-C-1860	0		0		0		100.5		95.5		100.5		5		5		0.78		0		130		0		0		0		
ÓñÃ×		c2007-C-1880	0		0		0		86		80.5		86		5.5		5.5		0.72		0		170		0		0		0		
ÓñÃ×		c2007-C-1900	0		0		0		73		66.5		73		6.5		6.5		0.66		0		340		0		0		0		
ÓñÃ×		c2007-C-1920	0		0		0		61		54.5		61		6.5		6.5		0.59		0		310		0		0		0		
ÓñÃ×		c2007-C-1940	0		0		0		50		43.5		50		6.5		6.5		0.53		0		6,500		0		0		0		
ÓñÃ×		c2007-C-1960	0		0		0		40.5		34		40.5		6.5		6.5		0.46		0		250		0		0		0		
ÓñÃ×		c2007-C-1980	24.5		26		24.5		26		26.5		32.5		-0.5		6		0.4		60		2,408		10		1.52		0		
ÓñÃ×		c2007-C-2000	17.5		20.5		17.5		20.5		20		25.5		0.5		5.5		0.34		90		384		0		1.73		0		
ÓñÃ×		c2007-C-2020	15.5		15.5		15.5		15.5		14.5		20		1		5.5		0.28		20		210		-10		0.31		0		
ÓñÃ×		c2007-C-2040	13		13.5		13		13.5		10.5		15		3		4.5		0.23		36		140		20		0.48		0		
ÓñÃ×		c2007-C-2060	11		11.5		11		11.5		7.5		11.5		4		4		0.18		30		230		20		0.34		0		
ÓñÃ×		c2007-C-2080	9.5		9.5		9		9.5		5		8.5		4.5		3.5		0.14		710		780		580		6.6		0		
ÓñÃ×		c2007-C-2100	7.5		7.5		7.5		7.5		3.5		6		4		2.5		0.11		20		200		20		0.15		0		
ÓñÃ×		c2007-C-2120	6.5		6.5		6.5		6.5		2		4.5		4.5		2.5		0.08		10		272		0		0.07		0		
ÓñÃ×		c2007-C-2140	5.5		5.5		5.5		5.5		1.5		3		4		1.5		0.06		10		262		0		0.06		0		
ÓñÃ×		c2007-C-2160	0		0		0		2		1		2		1		1		0.04		0		172		0		0		0		
ÓñÃ×		c2007-C-2180	0		0		0		1.5		0.5		1.5		1		1		0.03		0		180		0		0		0		
ÓñÃ×		c2007-C-2200	0		0		0		1		0.5		1		0.5		0.5		0.02		0		286		0		0		0		
ÓñÃ×		c2007-C-2220	3		3.5		3		3.5		0.5		0.5		3		0		0.01		80		366		50		0.28		0		
ÓñÃ×		c2007-P-1760	0		0		0		2		1		2		1		1		-0.04		0		10		0		0		0		
ÓñÃ×		c2007-P-1780	0		0		0		3.5		2		3.5		1.5		1.5		-0.07		0		20		0		0		0		
ÓñÃ×		c2007-P-1800	0		0		0		5.5		3		5.5		2.5		2.5		-0.1		0		10		0		0		0		
ÓñÃ×		c2007-P-1820	0		0		0		8		5		8		3		3		-0.13		0		110		0		0		0		
ÓñÃ×		c2007-P-1840	0		0		0		11		7.5		11		3.5		3.5		-0.17		0		120		0		0		0		
ÓñÃ×		c2007-P-1860	0		0		0		15.5		11		15.5		4.5		4.5		-0.22		0		200		0		0		0		
ÓñÃ×		c2007-P-1880	0		0		0		20.5		16		20.5		4.5		4.5		-0.27		0		290		0		0		0		
ÓñÃ×		c2007-P-1900	0		0		0		27		22		27		5		5		-0.33		0		280		0		0		0		
ÓñÃ×		c2007-P-1920	25.5		26		25.5		26		29.5		35		-3.5		5.5		-0.4		30		380		-20		0.77		0		
ÓñÃ×		c2007-P-1940	34.5		34.5		34.5		34.5		38.5		44		-4		5.5		-0.46		10		390		-10		0.35		0		
ÓñÃ×		c2007-P-1960	45.5		45.5		45.5		45.5		49		54.5		-3.5		5.5		-0.53		30		390		-30		1.37		0		
ÓñÃ×		c2007-P-1980	0		0		0		66		61		66		5		5		-0.6		0		270		0		0		0		
